ID1,ID2,Value,Correlation,Retention Time Difference,MZ Difference,Matched MZ Difference,Matched FormulaChange,Matched Reaction Description
7153.0,7496.0,1.6397467800604906,0.3654106946647819,2.532,11.9991,12.0,(CO-O/CH2-H2),addition of CO and dehydroxylation /Methylation and dehydrogenation
7153.0,7498.0,1.6684821960850642,0.3693592048988338,1.5860000000000003,11.999299999999948,12.0,(CO-O/CH2-H2),addition of CO and dehydroxylation /Methylation and dehydrogenation
7153.0,7500.0,1.6847516793755828,0.371517366738341,1.927,11.99939999999998,12.0,(CO-O/CH2-H2),addition of CO and dehydroxylation /Methylation and dehydrogenation
7153.0,7649.0,1.960151017296984,0.3756929873475645,2.128,17.025699999999972,17.0265,NH3,Add. Ions (M+NH4)
7153.0,7870.0,1.866236053947334,0.4022958057792354,1.2729999999999997,26.01619999999997,26.015,(+C2H2)/ (+C2H2O-O),Acetylation and  loss of OH
7153.0,8960.0,1.500309824882713,0.3559214958476902,1.149000000000001,68.06159999999994,68.0626,(-C5H8),Deisopentenylation
7153.0,9239.0,1.9398827161921228,0.9983268865792762,0.0139999999999993,79.95800000000003,79.9568,(+SO3),sulfate conjugation
7153.0,10621.0,1.96221672070703,0.6338583939977693,0.9149999999999991,176.0306,176.0321,(+C6H8O6),Glucuronidation
7496.0,7870.0,1.7015574603661174,0.9990869177278768,3.805,14.01709999999997,14.0157,(+CH2),Methylation/Demethylation
7496.0,7953.0,1.7533357000637595,0.9999481865987484,4.445,17.02669999999995,17.0265,NH3,Add. Ions (M+NH4)
7496.0,7954.0,1.6135806111440203,0.9999481865987484,5.138999999999999,17.026999999999987,17.0265,NH3,Add. Ions (M+NH4)
7496.0,8960.0,1.7738175332700956,0.9999481865987486,1.3829999999999991,56.06249999999994,56.0626,(C4H8),loss of butyl
7496.0,9375.0,1.8212302955125927,0.9992083444845524,4.282,75.03259999999995,75.032,(C2H5NO2),loss of  glycine
7498.0,7870.0,1.738325886688639,0.9990445092995136,0.3130000000000006,14.01690000000002,14.0157,(+CH2),Methylation/Demethylation
7498.0,7953.0,1.7565855099470271,0.9998099386688456,0.3269999999999999,17.0265,17.0265,NH3,Add. Ions (M+NH4)
7498.0,7954.0,1.6301599833153215,0.9998099386688456,1.020999999999999,17.026800000000037,17.0265,NH3,Add. Ions (M+NH4)
7498.0,8960.0,1.7559052649149367,0.9998099386688458,2.735000000000001,56.06229999999999,56.0626,(C4H8),loss of butyl
7498.0,9375.0,1.840010290585397,0.9996580672438532,0.1639999999999997,75.0324,75.032,(C2H5NO2),loss of  glycine
7500.0,7870.0,1.7439135075394572,0.9993298692125856,0.6539999999999999,14.01679999999999,14.0157,(+CH2),Methylation/Demethylation
7500.0,7953.0,1.761408574362244,0.9998596824151932,0.0139999999999993,17.026399999999967,17.0265,NH3,Add. Ions (M+NH4)
7500.0,7954.0,1.6295094384779638,0.9998596824151932,0.6799999999999997,17.026700000000005,17.0265,NH3,Add. Ions (M+NH4)
7500.0,8960.0,1.7718690960299723,0.9998596824151934,3.0760000000000005,56.06219999999996,56.0626,(C4H8),loss of butyl
7500.0,9375.0,1.832707368485212,0.9993073987169412,0.1769999999999996,75.03229999999996,75.032,(C2H5NO2),loss of  glycine
7649.0,7953.0,1.5630140415379827,0.9997740884136987,4.041,12.000099999999977,12.0,(CO-O/CH2-H2),addition of CO and dehydroxylation /Methylation and dehydrogenation
7649.0,7954.0,1.5204451337316345,0.9997740884136992,4.734999999999999,12.000400000000012,12.0,(CO-O/CH2-H2),addition of CO and dehydroxylation /Methylation and dehydrogenation
7649.0,9079.0,1.759939500813235,0.4010454928702198,5.254999999999999,55.99040000000002,55.9898,(-CO-CO),loss/addition of di-CO
7649.0,9553.0,1.8682822794106173,0.3048156479036963,2.148999999999999,79.95590000000004,79.9568,(+SO3),sulfate conjugation
7649.0,9629.0,1.5302796896280992,0.9997357931526638,4.355,84.02250000000004,84.0212,(+C2H2O+C2H2O),di-Acetylation
7649.0,10754.0,1.9404947756460031,-0.2662174269328149,3.28,176.03449999999998,176.0321,(+C6H8O6),Glucuronidation
7649.0,10756.0,1.9430010413918857,-0.3178960589276632,2.7970000000000006,176.0349,176.0321,(+C6H8O6),Glucuronidation
7865.0,7917.0,1.750095429646495,0.9553365291116852,0.402000000000001,2.0143000000000484,2.0157,(H2),dehydrogenation/hydrogenation
7865.0,7918.0,1.7611850516342282,0.8489569836349852,0.7059999999999995,2.014499999999998,2.0157,(H2),dehydrogenation/hydrogenation
7865.0,8281.0,1.6612692498805526,0.9136554527511832,0.1670000000000016,15.993600000000017,15.9949,(O),oxidation/hydroxylation
7865.0,8282.0,1.6758976800964551,0.9227191695167,2.222999999999999,15.99369999999999,15.9949,(O),oxidation/hydroxylation
7865.0,8283.0,1.6649754904557137,0.9147397205642128,1.3039999999999985,15.993800000000078,15.9949,(O),oxidation/hydroxylation
7865.0,8285.0,1.677184484900624,0.9048453977099452,2.709999999999999,15.993800000000078,15.9949,(O),oxidation/hydroxylation
7865.0,8286.0,1.6623145106906168,0.9714958857412532,1.003,15.993800000000078,15.9949,(O),oxidation/hydroxylation
7865.0,8287.0,1.6538650601507774,0.8981955936274254,3.9229999999999983,15.993900000000052,15.9949,(O),oxidation/hydroxylation
7865.0,8288.0,1.6665473404357989,0.8775185976382802,4.222,15.994000000000028,15.9949,(O),oxidation/hydroxylation
7865.0,8659.0,1.7413447582283628,0.9311478046253836,0.8590000000000018,30.009599999999978,30.0106,(+O+CH2),Hydroxylation+methylation/Demethoxylation
7865.0,8661.0,1.7553791987946883,0.8665301084331513,0.5620000000000012,30.00999999999999,30.0106,(+O+CH2),Hydroxylation+methylation/Demethoxylation
7865.0,8996.0,1.7517325224295544,0.8769359868221407,1.4750000000000014,44.02610000000004,44.0263,(+H2+ C2H2O),Acetylation and hydrogenation
7865.0,8998.0,1.6730297169228656,0.8939794810299165,1.3210000000000015,44.02620000000002,44.0263,(+H2+ C2H2O),Acetylation and hydrogenation
7870.0,8960.0,1.5508780613067137,0.998625444521682,2.4220000000000006,42.04539999999997,42.047,(3*CH2),loss of propylgroup
7917.0,8281.0,1.8190629489853416,0.7527429992975131,0.2349999999999994,13.979299999999968,13.9793,(H2+O),dehydrogenation and gain  of oxygen
