kegg1,kegg2,smiles1,smiles2,mass1,mass2,formula1,formula2,¦¤m/z,mzDiff,Count,Molecular formula changes
C00010,C06671,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C4=C(C=C(C=C4)Cl)Cl)O,767.1152,939.0635,C21H36N7O16P3S,C28H38Cl2N7O17P3S,-171.9483,171.9483,1,(/+C7  /+H2  /+Cl2  /+O)
C00051,C14848,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,C1=CC(C(C(=C1)Br)SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N)O,307.0838,479.0362,C10H17N3O6S,C16H22BrN3O7S,-171.9524,171.9524,1,(/+C6  /+H5  /+Br  /+O)
C00363,C11933,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O)N(C)C)O,402.0229,575.1281,C10H16N2O11P2,C18H31N3O14P2,-173.1052,173.1052,1,(/+C8  /+H15  /+N  /+O3)
C00019,C11512,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,CC/C=C\C[C@@H]1[C@H](CCC1=O)CC(=O)OC,398.1372,224.1412,C15H22N6O5S,C13H20O3,173.996,173.996,1,(/-C2  /-H2  /-N6  /-O2  /-S)
C00010,C00566,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)CC(CC(=O)O)(C(=O)O)O)O,767.1152,941.1316,C21H36N7O16P3S,C27H42N7O22P3S,-174.0164,174.0164,1,(/+C6  /+H6  /+O6)
C00852,C01197,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,C1=CC(=C(C=C1/C=C/C(=O)O)O)O,354.0951,180.0423,C16H18O9,C9H8O4,174.0528,174.0528,1,(/-C7  /-H10  /-O5)
C00019,C00482,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,COC1=CC(=CC(=C1O)OC)/C=C/C(=O)O,398.1372,224.0685,C15H22N6O5S,C11H12O5,174.0687,174.0687,1,(/-C4  /-H10  /-N6  /-S)
C00122,C03406,C(=C/C(=O)O)\C(=O)O,C(C[C@@H](C(=O)O)N)CN=C(N)N[C@@H](CC(=O)O)C(=O)O,116.011,290.1226,C4H4O4,C10H18N4O6,-174.1116,174.1116,1,(/+C6  /+H14  /+N4  /+O2)
C00025,C01441,C(CC(=O)O)[C@@H](C(=O)O)N,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)N)O)O)N,147.0532,322.1852,C5H9NO4,C12H26N4O6,-175.132,175.132,1,(/+C7  /+H17  /+N3  /+O2)
C00029,C12645,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C([O+]=C4C=C(C=C(C4=C3)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)C6=CC=C(C=C6)O)O)O)O)O)O)O,566.055,741.2242,C15H24N2O17P2,C33H41O19,-175.1692,175.1692,1,(/+C18  /+H17  /+O2  /-N2  /-P2)
C05766,C05768,C1C2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C1N5)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O,CC1=C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(N5)CC(=C1CCC(=O)O)N2)C)CCC(=O)O)C)CCC(=O)O)C)CCC(=O)O,836.2752,660.3159,C40H44N4O16,C36H44N4O8,175.9593,175.9593,1,(/-C4  /-O8)
C01019,C04698,C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O,C[C@H]1[C@H]([C@H]([C@@H]([C@@H](O1)O[C@@H]2[C@H]([C@H]([C@H](O[C@H]2OC)CO)O)O)O)O)O,164.0685,340.1369,C6H12O5,C13H24O10,-176.0684,176.0684,1,(/+C7  /+H12  /+O5)
C00026,C20351,C(CC(=O)O)C(=O)C(=O)O,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C=O)O)O)O)O)O)N,146.0215,322.1376,C5H6O5,C12H22N2O8,-176.1161,176.1161,1,(/+C7  /+H16  /+N2  /+O3)
C20559,C20562,C1=CC(=CC=C1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)N,C1C(=NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)[C@H]4[C@@H]([C@@H]([C@H](O4)COP(=O)(O)O)O)O,305.0664,482.1315,C11H16NO7P,C18H23N6O8P,-177.0651,177.0651,1,(/+C7  /+H7  /+N5  /+O)
C00029,C20493,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,C1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C([O+]=C4C=C(C=C(C4=C3)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)C6=CC(=C(C=C6)O)O)CO)O)O)O)O)O,566.055,743.2035,C15H24N2O17P2,C32H39O20,-177.1485,177.1485,1,(/+C17  /+H15  /+O3  /-N2  /-P2)
C00235,C18053,CC(=CCOP(=O)(O)OP(=O)(O)O)C,CC(=CCC(CC1=C(C=C(C2=C1O[C@@H](CC2=O)C3=C(C=C(C=C3)O)O)O)O)C(=C)C)C,246.0058,424.1886,C5H12O7P2,C25H28O6,-178.1828,178.1828,1,(/+C20  /+H16  /-O  /-P2)
C00019,C05313,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,CC(=CCC/C(=C/CC/C(=C/CC/C(=C/CC/C(=C/CC/C(=C/CC1=C(C(=CC(=C1)C(=O)O)OC)O)/C)/C)/C)/C)/C)C,398.1372,576.4179,C15H22N6O5S,C38H56O4,-178.2807,178.2807,1,(/+C23  /+H34  /-N6  /-O  /-S)
C00019,C05830,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,COC1=CC=CC2=C1NC(=CC2=O)C(=O)O,398.1372,219.0532,C15H22N6O5S,C11H9NO4,179.084,179.084,1,(/-C4  /-H13  /-N5  /-O  /-S)
C00029,C03503,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=CC=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,566.055,386.1002,C15H24N2O17P2,C20H18O8,179.9548,179.9548,1,(/+C5  /-H6  /-N2  /-O9  /-P2)
C00019,C16831,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,CC1=C(C2=CC=CC=C2N1)C[C@@H](C(=O)O)N,398.1372,218.1055,C15H22N6O5S,C12H14N2O2,180.0317,180.0317,1,(/-C3  /-H8  /-N4  /-O3  /-S)
C00002,C20245,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)CO)O)OP(=O)(O)O,506.9957,687.0479,C10H16N5O13P3,C17H28N3O20P3,-180.0522,180.0522,1,(/+C7  /+H12  /+O7  /-N2)
C16523,C16833,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@](C3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)C[C@H](C5=CC=CC=C5)N)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)OC(=O)C,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C[C@H](C4=CC=CC=C4)N)O,733.3098,914.1836,C40H47NO12,C30H45N8O17P3S,-180.8738,180.8738,1,(/+N7  /+O5  /+P3  /+S  /-C10  /-H2)
C00029,C15550,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,C1=CC=C2C(=C1)C=CC(=[O+]2)C3=CC(=CC=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,566.055,385.1287,C15H24N2O17P2,C21H21O7,180.9263,180.9263,1,(/+C6  /-H3  /-N2  /-O10  /-P2)
C00019,C07030,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,CC(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H]2[C@H](O[C@H]([C@@H]2O)N3C=NC4=C3N=CN=C4N(C)C)COP(=O)(O)O,398.1372,579.1843,C15H22N6O5S,C23H30N7O9P,-181.0471,181.0471,1,(/+C8  /+H8  /+N  /+O4  /+P  /-S)
C00019,C05644,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,CC(C1=CNC2=CC=CC=C21)C(=O)C(=O)O,398.1372,217.0739,C15H22N6O5S,C12H11NO3,181.0633,181.0633,1,(/-C3  /-H11  /-N5  /-O2  /-S)
C00026,C16519,C(CC(=O)O)C(=O)C(=O)O,C=C(C(=O)O)O[C@H]1C=C[C@@H]([C@H]([C@@H]1O)C(=O)O)C(=O)CCC(=O)O,146.0215,328.0794,C5H6O5,C14H16O9,-182.0579,182.0579,1,(/+C9  /+H10  /+O4)
C19844,C19864,CC1([C@H]([C@@H]1C(=O)O)C=C(Cl)Cl)C,CC1([C@H]([C@@H]1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,208.0058,390.079,C8H10Cl2O2,C21H20Cl2O3,-182.0732,182.0732,1,(/+C13  /+H10  /+O)
C02201,C04597,COC1=C(C=C(C=C1)C=O)OC,COC1=C(C=C(C=C1)C(CO)C(C2=CC(=C(C=C2)OC)OC)O)OC,166.063,348.1573,C9H10O3,C19H24O6,-182.0943,182.0943,1,(/+C10  /+H14  /+O3)
C00029,C16448,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,CC(CCNC1=NC=NC2=C1NC=N2)CO[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,566.055,383.1805,C15H24N2O17P2,C16H25N5O6,182.8745,182.8745,1,(/+C  /+H  /+N3  /-O11  /-P2)
C00002,C01168,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,C1=C(C(=O)NC(=O)N1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O,506.9957,324.0359,C10H16N5O13P3,C9H13N2O9P,182.9598,182.9598,1,(/-C  /-H3  /-N3  /-O4  /-P2)
C00010,C15547,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCSC(=O)C4=C(C5=CC=CC=C5C(=C4)O)O)O,767.1152,953.1469,C21H36N7O16P3S,C32H42N7O19P3S,-186.0317,186.0317,1,(/+C11  /+H6  /+O3)
C00019,C05690,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,C[Se+](C)CC[C@@H](C(=O)O)N,398.1372,212.019,C15H22N6O5S,C6H14NO2Se,186.1182,186.1182,1,(/+Se  /-C9  /-H8  /-N5  /-O3  /-S)
C00235,C02008,CC(=CCOP(=O)(O)OP(=O)(O)O)C,CC(=CCC1=C(C=CC(=C1)/C=C\2/C(=C(C(=O)O2)C3=CC(=C(C=C3)O)CC=C(C)C)O)O)C,246.0058,432.1937,C5H12O7P2,C27H28O5,-186.1879,186.1879,1,(/+C22  /+H16  /-O2  /-P2)
C00019,C11964,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,C[C@H]1/C=C/C=C/2\CO[C@H]3[C@@]2([C@@H](C=C([C@H]3OC)C)C(=O)O[C@H]4C[C@@H](C/C=C(/[C@H]1O)\C)O[C@]5(C4)C=C[C@@H]([C@H](O5)C(C)C)C)O,398.1372,584.3349,C15H22N6O5S,C34H48O8,-186.1977,186.1977,1,(/+C19  /+H26  /+O3  /-N6  /-S)
C20497,C20498,CC(=CCC/C(=C/CC/C(=C/CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\CC/C(=C\COP(=O)(O)OP(=O)(O)O[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O[C@H]2[C@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O)O)NC(=O)C)O)NC(=O)C)/C)/C)/C)/C)/C)/C)/C)/C)/C)/C)C,C[C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@H]2[C@@H]([C@@H]([C@@H](O[C@@H]2C(=O)O)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)NC(=O)C)OP(=O)(O)OP(=O)(O)OC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(/C)\CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)CO)NC(=O)C)O)O)O)NC(=O)C,1346.7698,1533.8543,C71H116N2O18P2,C79H129N3O22P2,-187.0845,187.0845,1,(/+C8  /+H13  /+N  /+O4)
C00019,C02325,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,COC1=CC(=CC(=C1O)OC)/C=C/CO,398.1372,210.0892,C15H22N6O5S,C11H14O4,188.048,188.048,1,(/-C4  /-H8  /-N6  /-O  /-S)
C00019,C11510,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,COC1=C(C=C(C=C1Cl)Cl)Cl,398.1372,209.9406,C15H22N6O5S,C7H5Cl3O,188.1966,188.1966,1,(/+Cl3  /-C8  /-H17  /-N6  /-O4  /-S)
C00051,C14806,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,C1=CC2=C(C=CC(C2SC[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N)O)C(=C1)[N+](=O)[O-],307.0838,496.1264,C10H17N3O6S,C20H24N4O9S,-189.0426,189.0426,1,(/+C10  /+H7  /+N  /+O3)
C19800,C19864,C1=CC=C(C=C1)OC2=CC=CC(=C2)CO,CC1([C@H]([C@@H]1C(=O)OCC2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,200.0837,390.079,C13H12O2,C21H20Cl2O3,-189.9953,189.9953,1,(/+C8  /+H8  /+Cl2  /+O)
C00029,C12646,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C([O+]=C4C=C(C=C(C4=C3)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)C6=CC(=C(C=C6)O)O)O)O)O)O)O)O,566.055,757.2191,C15H24N2O17P2,C33H41O20,-191.1641,191.1641,1,(/+C18  /+H17  /+O3  /-N2  /-P2)
C00031,C01533,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O,COC1=CC(=CC(=C1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)OC)/C=C/CO,180.0634,372.142,C6H12O6,C17H24O9,-192.0786,192.0786,1,(/+C11  /+H12  /+O3)
C00024,C16338,CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,CC/C=C\C[C@H]1[C@H](CCC1=O)CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=CN=C4N)O)OP(=O)(O)O)O,809.1258,1001.2408,C23H38N7O17P3S,C35H54N7O19P3S,-192.115,192.115,1,(/+C12  /+H16  /+O2)
C00029,C04831,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,COC1=CC2=C(C=C1)N(C(=O)C(O2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,566.055,373.1009,C15H24N2O17P2,C15H19NO10,192.9541,192.9541,1,(/-H5  /-N  /-O7  /-P2)
C00019,C05660,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,COC1=CC2=C(C=C1)NC=C2CC(=O)O,398.1372,205.0739,C15H22N6O5S,C11H11NO3,193.0633,193.0633,1,(/-C4  /-H11  /-N5  /-O2  /-S)
C00029,C20494,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,C1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C([O+]=C4C=C(C=C(C4=C3)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)C6=CC(=C(C(=C6)O)O)O)CO)O)O)O)O)O,566.055,759.1984,C15H24N2O17P2,C32H39O21,-193.1434,193.1434,1,(/+C17  /+H15  /+O4  /-N2  /-P2)
C00029,C01533,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,COC1=CC(=CC(=C1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)OC)/C=C/CO,566.055,372.142,C15H24N2O17P2,C17H24O9,193.913,193.913,1,(/+C2  /-N2  /-O8  /-P2)
C00019,C08299,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,CN(C)CCC1=CNC2=C1C=C(C=C2)O,398.1372,204.1263,C15H22N6O5S,C12H16N2O,194.0109,194.0109,1,(/-C3  /-H6  /-N4  /-O4  /-S)
C00167,C19606,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)O)O,CN(CCCC(C1=C[N+](=CC=C1)[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)[O-])O)O)O)O)N=O,580.0343,385.1485,C15H22N2O18P2,C16H23N3O8,194.8858,194.8858,1,(/+C  /+H  /+N  /-O10  /-P2)
C05382,C13378,C([C@H]([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)O)OP(=O)(O)O,CC1=C(SC(=[N+]1CC2=CN=C(N=C2N)C)C(CO)O)CCOP(=O)(O)OP(=O)(O)O,290.0403,485.0661,C7H15O10P,C14H23N4O9P2S,-195.0258,195.0258,1,(/+C7  /+H8  /+N4  /+P  /+S  /-O)
C11912,C12003,C[C@@H]1[C@H]([C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)O)O)O,CC[C@@H]1[C@H](/C=C(/C=C/C(=O)[C@@H](C[C@@H]([C@@H]([C@H]([C@@H](CC(=O)O1)O)C)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C)O)N(C)C)O)CC=O)C)\C)CO[C@H]3[C@@H]([C@@H]([C@@H]([C@H](O3)C)O)O)O,548.0808,743.4092,C16H26N2O15P2,C37H61NO14,-195.3284,195.3284,1,(/+C21  /+H35  /-N  /-O  /-P2)
C01137,C16565,C[S+](CCCN)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,C(CCN)CCNCCCN,355.1552,159.1735,C14H23N6O3S,C8H21N3,195.9817,195.9817,1,(/-C6  /-H2  /-N3  /-O3  /-S)
C00061,C00103,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O)O,456.1046,260.0297,C17H21N4O9P,C6H13O9P,196.0749,196.0749,1,(/-C11  /-H8  /-N4)
C00002,C01182,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,C([C@H]([C@H](C(=O)COP(=O)(O)O)O)O)OP(=O)(O)O,506.9957,309.9855,C10H16N5O13P3,C5H12O11P2,197.0102,197.0102,1,(/-C5  /-H4  /-N5  /-O2  /-P)
C00029,C16517,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,C1=CC=C2C(=C1)C(=CN2)C/C(=N/O)/S[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,566.055,368.1042,C15H24N2O17P2,C16H20N2O6S,197.9508,197.9508,1,(/+C  /+S  /-H4  /-O11  /-P2)
C05551,C07086,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,C1=CC=C(C=C1)CC(=O)O,334.0987,136.0524,C16H18N2O4S,C8H8O2,198.0463,198.0463,1,(/-C8  /-H10  /-N2  /-O2  /-S)
C00019,C15881,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,C/C(=C\C=C\C(=C\C=C\C(=C\C=C\C=C(\C=C\C=C(\C=C\C=C(\C=C\CC(OC)(C)C)/C)/C)/C)\C)\C)/C=C/CC(OC)(C)C,398.1372,596.4593,C15H22N6O5S,C42H60O2,-198.3221,198.3221,1,(/+C27  /+H38  /-N6  /-O3  /-S)
C00044,C00105,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)NC(=NC2=O)N,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O,522.9907,324.0359,C10H16N5O14P3,C9H13N2O9P,198.9548,198.9548,1,(/-C  /-H3  /-N3  /-O5  /-P2)
C00044,C00055,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)NC(=NC2=O)N,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O,522.9907,323.0519,C10H16N5O14P3,C9H14N3O8P,199.9388,199.9388,1,(/-C  /-H2  /-N2  /-O6  /-P2)
C00448,C16286,CC(=CCC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)C,C[C@H]1CCC[C@@]2([C@@]1(CCCC2)O)C,382.131,182.1671,C15H28O7P2,C12H22O,199.9639,199.9639,1,(/-C3  /-H6  /-O6  /-P2)
C00111,C00447,C(C(=O)COP(=O)(O)O)O,C([C@H]([C@H]([C@H]([C@@H](C(=O)COP(=O)(O)O)O)O)O)O)OP(=O)(O)O,169.998,370.0066,C3H7O6P,C7H16O13P2,-200.0086,200.0086,1,(/+C4  /+H9  /+O7  /+P)
