kegg1,kegg2,smiles1,smiles2,mass1,mass2,formula1,formula2,¦¤m/z,mzDiff,Count,Molecular formula changes
C00166,C00940,C1=CC=C(C=C1)CC(=O)C(=O)O,C(CC(=O)N)C(=O)C(=O)O,164.0473,145.0375,C9H8O3,C5H7NO4,19.0098,19.0099,1,(/+N  /+O  /-C4  /-H)
C05908,C05909,C1=C(C=C(C(=C1O)O)O)C2=C(C=C3C(=CC(=CC3=[O+]2)O)O)O,C1=C(C=C(C(=C1O)O)O)[C@@H]2[C@H]([C@H](C3=C(C=C(C=C3O2)O)O)O)O,303.0505,322.0689,C15H11O7,C15H14O8,-19.0184,19.0184,1,(/+H3  /+O)
C00053,C02555,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OS(=O)(=O)O)OP(=O)(O)O)O,C1=CC=C(C=C1)CC2=C(N3C=C(N=C(C3=N2)CC4=CC=CC=C4)C5=CC=C(C=C5)O)OS(=O)(=O)O,506.9862,487.1202,C10H15N5O13P2S,C26H21N3O5S,19.866,19.866,1,(/+C16  /+H6  /-N2  /-O8  /-P2)
C05427,C13309,C[C@@H](CCC[C@@H](C)CCC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)CCCC(C)C,CC(C)CCCC(C)CCCC(C)CCC/C(=C/CC1=CC(=O)C2=CC=CC=C2C1=O)/C,456.2406,436.3341,C20H42O7P2,C30H44O2,19.9065,19.9065,1,(/+C10  /+H2  /-O5  /-P2)
C00025,C03493,C(CC(=O)O)[C@@H](C(=O)O)N,C1=CC(=CC=C1[C@H](C(=O)O)N)O,147.0532,167.0582,C5H9NO4,C8H9NO3,-20.005,20.0051,1,(/+C3  /-O)
C00019,C16615,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,CSC1=NC=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,398.1372,378.0399,C15H22N6O5S,C11H15N4O7PS,20.0973,20.0973,1,(/+O2  /+P  /-C4  /-H7  /-N2)
C00052,C04847,C1=CN(C(=O)NC1=O)C2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O[C@H]2[C@@H]([C@H]([C@H]([C@H](O2)CO)O)O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O,566.055,545.1956,C15H24N2O17P2,C20H35NO16,20.8594,20.8594,1,(/+C5  /+H11  /-N  /-O  /-P2)
C00217,C00534,C(CC(=O)O)[C@H](C(=O)O)N,CC1=NC=C(C(=C1O)CN)CO,147.0532,168.0899,C5H9NO4,C8H12N2O2,-21.0367,21.0367,1,(/+C3  /+H3  /+N  /-O2)
C00979,C05688,CC(=O)OC[C@@H](C(=O)O)N,C([C@@H](C(=O)O)N)[SeH],147.0532,168.9642,C5H9NO4,C3H7NO2Se,-21.911,21.911,1,(/+Se  /-C2  /-H2  /-O2)
C00119,C01103,C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O,C1=C(N(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)C(=O)O,389.9518,368.0257,C5H13O14P3,C10H13N2O11P,21.9261,21.9261,1,(/+C5  /+N2  /-O3  /-P2)
C00025,C00506,C(CC(=O)O)[C@@H](C(=O)O)N,C([C@@H](C(=O)O)N)S(=O)(=O)O,147.0532,169.0045,C5H9NO4,C3H7NO5S,-21.9513,21.9514,1,(/+O  /+S  /-C2  /-H2)
C00025,C05672,C(CC(=O)O)[C@@H](C(=O)O)N,C(C(C(=O)O)N)P(=O)(O)O,147.0532,169.014,C5H9NO4,C3H8NO5P,-21.9608,21.9609,1,(/+O  /+P  /-C2  /-H)
C00026,C00593,C(CC(=O)O)C(=O)C(=O)O,C(C=O)S(=O)(=O)O,146.0215,123.983,C5H6O5,C2H4O4S,22.0385,22.0385,1,(/+S  /-C3  /-H2  /-O)
C01185,C04778,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O)C(=O)O,CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,336.0484,358.093,C11H15NO9P,C14H19N2O7P,-22.0446,22.0446,1,(/+C3  /+H4  /+N  /-O2)
C00672,C20463,C1[C@@H]([C@H](O[C@@H]1OP(=O)(O)O)CO)O,C1[C@@H]([C@H](O[C@H]1N2C=NC3=CN=CN=C32)CO)O,214.0242,236.0909,C5H11O7P,C10H12N4O3,-22.0667,22.0667,1,(/+C5  /+H  /+N4  /-O4  /-P)
C00053,C15559,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OS(=O)(=O)O)OP(=O)(O)O)O,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)OS(=O)(=O)O)C,506.9862,529.2709,C10H15N5O13P2S,C26H43NO8S,-22.2847,22.2847,1,(/+C16  /+H28  /-N4  /-O5  /-P2)
C00307,C03640,C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=CC(=NC2=O)N)O)O,CCCCCCCCCCCCC/C=C/[C@H]([C@H](COP(=O)(O)OCC[N+](C)(C)C)N)O,488.1073,465.3457,C14H26N4O11P2,C23H50N2O5P,22.7616,22.7616,1,(/+C9  /+H24  /-N2  /-O6  /-P)
C00002,C04030,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,C1=CC(=C(C(=C1)O)O)C(=O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=CN=C4N)O)O,506.9957,483.0791,C10H16N5O13P3,C17H18N5O10P,23.9166,23.9166,1,(/+C7  /+H2  /-O3  /-P2)
C00019,C12371,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,CC1=C(C(=CC2=CC3=C(C(=C12)O)C(=O)C4=C(C=C(C=C4C3=O)OC)O)OC)C(=O)OC,398.1372,422.1002,C15H22N6O5S,C23H18O8,-23.963,23.963,1,(/+C8  /+O3  /-H4  /-N6  /-S)
C02170,C05281,CC(C(=O)O)C(=O)O,CC1C(=O)NC(=O)NC1=O,118.0266,142.0378,C4H6O4,C5H6N2O3,-24.0112,24.0112,1,(/+C  /+N2  /-O)
C00853,C02823,CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)(O)O[C@H](C)CNC(=O)CC[C@@]\4([C@H](C5[C@]6([C@@]([C@@H](C(=N6)/C(=C\7/[C@@]([C@@H](C(=N7)/C=C\8/C([C@@H](C(=N8)/C(=C4\[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co],CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]\4([C@H](C5[C@]6([C@@]([C@@H](C(=N6)/C(=C\7/[C@@]([C@@H](C(=N7)/C=C\8/C([C@@H](C(=N8)/C(=C4\[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3],1329.5722,1354.5674,C62H89CoN13O14P,C63H88CoN14O14P,-24.9952,24.9952,1,(/+C  /+N  /-H)
C00002,C00459,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,506.9957,481.9893,C10H16N5O13P3,C10H17N2O14P3,25.0064,25.0064,1,(/+H  /+O  /-N3)
C05551,C05557,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CC3=CC=CC=C3)C(=O)O)C,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)CCC[C@@H](C(=O)O)N)C(=O)O)C,334.0987,359.1151,C16H18N2O4S,C14H21N3O6S,-25.0164,25.0164,1,(/+H3  /+N  /+O2  /-C2)
C00019,C04831,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,COC1=CC2=C(C=C1)N(C(=O)C(O2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O,398.1372,373.1009,C15H22N6O5S,C15H19NO10,25.0363,25.0363,1,(/+O5  /-H3  /-N5  /-S)
C00620,C03150,C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,230.0192,255.0981,C5H11O8P,C11H15N2O5,-25.0789,25.0789,1,(/+C6  /+H4  /+N2  /-O3  /-P)
C00119,C00655,C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=O)NC2=O,389.9518,364.042,C5H13O14P3,C10H13N4O9P,25.9098,25.9098,1,(/+C5  /+N4  /-O5  /-P2)
C00119,C04646,C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O,C1=NC(=S)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,389.9518,364.0243,C5H13O14P3,C10H13N4O7PS,25.9275,25.9275,1,(/+C5  /+N4  /+S  /-O7  /-P2)
C00097,C00302,C([C@@H](C(=O)O)N)S,C(CC(=O)O)C(C(=O)O)N,121.0197,147.0532,C3H7NO2S,C5H9NO4,-26.0335,26.0335,1,(/+C2  /+H2  /+O2  /-S)
C00620,C05841,C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)O,230.0192,256.0821,C5H11O8P,C11H14NO6,-26.0629,26.0629,1,(/+C6  /+H3  /+N  /-O2  /-P)
C12426,C12443,CC[C@]1(C[C@@H](C2=C(C3=C(C(=C2[C@H]1C(=O)OC)O)C(=O)C4=C(C3=O)C(=CC=C4)O)O)O[C@H]5C[C@@H]([C@@H]([C@@H](O5)C)O)N)O,C[C@H]1[C@H]([C@H](C[C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H](C[C@@H](O2)N3C=C(C(=O)NC3=O)C)O)N)O,557.1897,531.1019,C28H31NO11,C16H27N3O13P2,26.0878,26.0878,1,(/+N2  /+O2  /+P2  /-C12  /-H4)
C00448,C16144,CC(=CCC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)C,CC(=CCC/C(=C/CC/C(=C/C=C\C=C(\CC/C=C(/CCC=C(C)C)\C)/C)/C)/C)C,382.131,408.3756,C15H28O7P2,C30H48,-26.2446,26.2446,1,(/+C15  /+H20  /-O7  /-P2)
C00029,C04859,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,C[C@H]1[C@H]2[C@H](C[C@@H]3[C@@]2(CC[C@H]4[C@H]3CC=C5[C@@]4(CC[C@@H](C5)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)C)O[C@]17CC[C@@](O7)(C)CO,566.055,592.3611,C15H24N2O17P2,C33H52O9,-26.3061,26.3061,1,(/+C18  /+H28  /-N2  /-O8  /-P2)
C00061,C00063,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](COP(=O)(O)O)O)O)O,C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,456.1046,482.9845,C17H21N4O9P,C9H16N3O14P3,-26.8799,26.8799,1,(/+O5  /+P2  /-C8  /-H5  /-N)
C00119,C00144,C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)OP(=O)(O)O)O)O)OP(=O)(O)O,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=NC2=O)N,389.9518,363.058,C5H13O14P3,C10H14N5O8P,26.8938,26.8938,1,(/+C5  /+H  /+N5  /-O6  /-P2)
C00051,C14874,C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N,C1C[S+]1C[C@@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N,307.0838,334.1073,C10H17N3O6S,C12H20N3O6S,-27.0235,27.0235,1,(/+C2  /+H3)
C19797,C19798,CC(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C=C(C)C)\C)\C)/C)/C)C,C/C(=C\C=C\C=C(\C=C\C=C(\C=C\C=C(\C=O)/C)/C)/C)/C=C/C=C(/C=C/C=C(/C=O)\C)\C,400.313,428.2715,C30H40,C30H36O2,-27.9585,27.9585,1,(/+O2  /-H4)
C01001,C01274,C1=CC(=CC=C1CCNC(=O)CC[C@@H](C(=O)O)NC(=O)CC[C@@H](C(=O)O)NC(=O)CCC(C(CCC(=O)O)C(=O)O)C(=O)O)OCC2=COC(=C2)CNC=O,C[C@H]1[C@@H](N(C2=C(N1)NC(=NC2=O)N)C=O)[C@@H](C)NC3=CC=C(C=C3)C[C@@H]([C@@H]([C@@H](CO[C@@H]4[C@@H]([C@@H]([C@H](O4)COP(=O)(O)O[C@@H](CCC(=O)O)C(=O)O)O)O)O)O)O,776.2752,804.2579,C35H44N4O16,C31H45N6O17P,-27.9827,27.9827,1,(/+H  /+N2  /+O  /+P  /-C4)
C00073,C03392,CSCC[C@@H](C(=O)O)N,C[S+](C)CC(=O)O,149.051,121.0323,C5H11NO2S,C4H9O2S,28.0187,28.0187,1,(/-C  /-H2  /-N)
C00214,C00672,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O,C1[C@@H]([C@H](O[C@@H]1OP(=O)(O)O)CO)O,242.0903,214.0242,C10H14N2O5,C5H11O7P,28.0661,28.0661,1,(/+O2  /+P  /-C5  /-H3  /-N2)
C00002,C16238,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,C1CSS[C@@H]1CCCCC(=O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=CN=C4N)O)O,506.9957,535.096,C10H16N5O13P3,C18H26N5O8PS2,-28.1003,28.1003,1,(/+C8  /+H10  /+S2  /-O5  /-P2)
C00019,C11523,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,C/C=C(/CC[C@@H](C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3C2=CC[C@@H]4[C@@]3(CC[C@@H]([C@H]4C)O)C)C)\C(C)C,398.1372,426.3862,C15H22N6O5S,C30H50O,-28.249,28.249,1,(/+C15  /+H28  /-N6  /-O4  /-S)
C00448,C00751,CC(=CCC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)C,CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C,382.131,410.3913,C15H28O7P2,C30H50,-28.2603,28.2603,1,(/+C15  /+H22  /-O7  /-P2)
C00019,C15530,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,C[C@@H]1[C@@H]2C3=CC(=C(C=C3CCN2CC4=C1C=CC(=C4OC)OC)OC)OC,398.1372,369.194,C15H22N6O5S,C22H27NO4,28.9432,28.9432,1,(/+C7  /+H5  /-N5  /-O  /-S)
