ID,m/z
1608,185.11703
1611,185.11739
1612,185.11739
1613,185.11742
1616,185.12843
1619,185.13257
1623,186.00974
1624,186.05487
1627,186.08749
1629,186.09106
1633,186.11221
1634,186.11272
1636,186.95592
1637,186.95592
1638,186.95595
1639,186.95598
1640,186.95599
1643,186.98093
1645,187.05653
1647,187.07118
1651,187.08632
1655,187.10742
1656,187.11133
1660,187.13232
1661,187.13249
1662,187.13252
1665,187.13293
1670,187.18056
1672,188.05527
1673,188.0705
1674,188.07053
1675,188.07059
1676,188.0706
1678,188.07066
1679,188.07066
1680,188.07069
1681,188.07071
1683,188.09132
1685,188.09142
1689,188.09184
1690,188.09186
1692,188.09207
1697,188.16431
1698,188.17537
1699,188.17537
1701,188.20094
1707,189.08688
1710,189.09102
1712,189.09106
1715,189.09113
1716,189.09418
1718,189.09424
1722,189.12305
1724,189.12311
1726,189.1235
1727,189.12355
1730,189.12727
1732,189.12753
1733,189.12755
1734,189.13458
1735,189.1483
1740,189.16389
1742,190.04939
1744,190.04959
1745,190.04968
1747,190.07069
1748,190.08609
1749,190.09752
1752,190.10725
1758,191.04044
1760,191.05482
1761,191.06995
1763,191.10225
1764,191.10625
1767,191.10629
1768,191.10629
1769,191.10629
1771,191.10631
1773,191.10663
1774,191.10664
1776,191.10666
1777,191.10667
1778,191.10667
1779,191.10667
1780,191.1067
1781,191.1067
1782,191.10672
1785,191.10689
1786,191.1069
1787,191.12756
1788,191.14262
1790,191.14307
1791,191.14323
1792,192.0321
1793,192.03275
1794,192.05533
1795,192.06161
1803,192.10489
1804,192.10547
1806,192.13809
1813,193.03406
1821,193.08582
1826,193.0862
1832,193.08629
1837,193.10146
1840,193.12209
1841,193.12212
1842,193.12212
1846,193.12213
1851,193.1225
1855,193.15443
1864,194.08113
1865,194.08134
1871,194.10384
1877,194.15388
1932,196.16949
1933,196.16969
1934,196.16972
1956,198.08508
1961,198.18478
1964,198.18484
1974,199.14421
1976,199.18817
1979,200.04066
1987,200.12799
1988,200.12807
1989,200.16438
1992,200.20049
1996,201.03258
2003,201.10208
2004,201.10217
2009,201.12363
2013,201.15968
2025,201.16376
2026,201.16376
2028,201.1638
2032,202.08598
2034,202.10716
2035,202.11844
2037,202.12573
2038,202.14336
2039,202.14337
2040,202.14339
2045,202.21629
2047,202.95094
2049,203.0526
2053,203.10246
2054,203.10255
2056,203.10666
2057,203.10965
2060,203.12746
2061,203.1275
2062,203.13896
2063,203.13911
2064,203.14268
2065,203.15021
2066,203.15051
2067,203.17903
2068,203.17937
2069,203.17941
2070,203.17943
2071,203.17943
2072,203.17944
2074,203.17944
2075,203.17947
2076,203.17949
2078,203.22289
2080,204.08669
2082,204.09789
2092,205.08572
2095,205.09695
2096,205.09698
2098,205.09714
2112,205.19502
2113,205.19505
2114,205.19508
2115,205.19511
2116,205.19511
2120,206.04482
2121,206.08051
2122,206.10185
2123,206.10194
2124,206.10197
2125,206.10197
2128,206.10213
2129,206.10213
2130,206.10217
2131,206.10229
2132,206.10234
2134,206.11769
2135,206.12051
2145,207.06508
2147,207.10126
2148,207.10126
2154,207.10175
2155,207.10181
2160,207.11243
2162,207.11652
2166,207.13782
2168,207.13783
2178,208.0692
2182,208.09686
2185,208.09889
2191,208.97253
2196,209.05595
2197,209.06293
2198,209.06305
2199,209.08046
2201,209.08092
2202,209.09187
2204,209.09251
2205,209.09576
2206,209.09592
2207,209.09593
2208,209.10173
2209,209.11687
2211,209.11697
2212,209.11699
2213,209.117
2214,209.117
2215,209.11703
2216,209.11703
2217,209.11705
2218,209.11707
2219,209.11707
2220,209.12851
2222,209.13243
2225,209.15343
2226,209.15347
2227,209.15355
2228,209.15355
2230,209.15404
2231,209.18985
2234,210.0605
2235,210.07582
2237,210.11205
2240,210.14893
2244,210.94327
2250,211.10756
2252,211.11111
2254,211.11868
2255,211.11868
2258,211.13245
2259,211.13245
2260,211.13248
2261,211.13301
2262,211.13313
2267,211.16882
2293,213.12306
2298,213.127
2300,213.12703
2310,214.089
2311,214.08919
2312,214.08923
2313,214.08925
2314,214.08926
2315,214.08929
2316,214.08929
2317,214.0898
2341,215.13847
2352,216.08505
2358,216.09785
2364,216.1591
2377,217.08868
2379,217.08894
2380,217.0965
2381,217.09715
2382,217.10043
2383,217.10458
2384,217.10684
2385,217.10687
2386,217.10692
2387,217.10696
2389,217.11812
2391,217.12186
2392,217.12189
2393,217.12189
2395,217.12193
2396,217.12218
2397,217.12219
2403,217.15836
2404,217.15862
2407,217.15868
2408,217.98705
2410,218.08109
2413,218.12074
2414,218.1208
2416,218.13837
2418,218.15198
2420,218.17511
2422,218.21144
2423,218.21159
2427,219.02608
2432,219.07616
2433,219.09769
2436,219.10097
2437,219.10141
2438,219.10146
2439,219.10164
2440,219.11252
2442,219.13364
2445,219.13371
2450,219.13783
2451,219.13785
2452,219.13786
2454,219.13786
2456,219.17377
2460,219.17398
2461,219.17403
2463,219.17409
2464,219.17433
2465,219.17445
2469,220.04205
2471,220.08234
2472,220.08241
2473,220.09621
2477,220.11772
2478,220.13644
2483,221.01868
2484,221.08028
2485,221.08035
2486,221.09177
2487,221.09184
2488,221.09213
2492,221.11687
2495,221.12791
2500,221.1534
2501,221.15358
2502,221.15358
2503,221.16457
2505,221.18996
2506,221.18999
2508,222.0291
2513,222.09856
2516,222.11185
2519,222.11235
2525,222.14882
2528,222.98824
2531,223.07838
2533,223.09607
2534,223.09615
2536,223.0965
2537,223.09933
2542,223.11159
2549,223.14798
2552,223.16885
2553,223.16885
2558,223.98816
2563,224.09158
2564,224.11298
2565,224.1275
2566,224.1275
2567,224.12758
2568,224.12759
2569,224.12762
2570,224.12767
2572,224.12791
2573,224.12791
2575,224.12794
2576,224.12798
2577,224.12798
2578,224.12798
2579,224.12805
2580,224.12807
2581,224.12811
2582,224.12817
2583,224.12825
2584,224.16415
2585,224.17538
2589,225.03459
2593,225.08408
2596,225.10168
2599,225.1116
2600,225.11162
2601,225.11163
2604,225.11958
2607,225.12727
2613,225.14836
2614,225.14841
2615,225.14842
2623,226.08928
2625,226.12196
2627,226.14331
2628,226.14333
2633,226.159
2634,226.18005
2635,226.95154
2636,227.0789
2638,227.091
2639,227.10197
2640,227.10236
2642,227.11404
2643,227.12456
2645,227.12749
2646,227.12772
2647,227.12772
2648,227.1384
2649,227.1384
2650,227.1384
2651,227.13907
2652,227.13908
2653,227.13914
2655,227.14288
2659,227.17487
2664,228.09796
2666,228.11298
2667,228.12251
2671,228.15955
2676,228.19545
2677,228.19591
2688,229.11823
2689,229.11826
2690,229.12173
2696,229.14317
2699,229.15424
2700,229.15434
2701,229.15436
2702,229.15436
2703,229.15436
2705,229.15445
2706,229.1545
2707,229.15457
2721,230.10236
2726,230.11713
2728,230.13947
2729,230.13947
2730,230.1395
2731,230.1395
2732,230.1395
2733,230.13953
2734,230.13954
2735,230.13956
2736,230.13957
2737,230.13965
2738,230.13972
2739,230.13972
2740,230.13976
2741,230.14021
2742,230.14024
2743,230.14027
2744,230.14029
2745,230.14954
2746,230.18617
2747,230.18625
2748,230.18626
2751,230.24744
2762,231.07639
2763,231.08357
2767,231.11613
2770,231.11639
2773,231.13799
2775,231.13802
2778,231.13808
2785,231.17017
2793,231.98878
2807,232.15414
2819,233.09196
2821,233.09225
2825,233.11302
2827,233.11674
2828,233.11678
2834,233.14935
2837,233.15297
2840,233.15303
2841,233.15309
2846,233.15344
2851,233.15355
2852,233.15356
2855,233.15388
2862,234.05798
2863,234.09662
2864,234.09666
2865,234.09666
2866,234.09668
2867,234.09671
2868,234.09676
2869,234.09676
2870,234.09682
2872,234.09686
2873,234.09686
2874,234.09686
2876,234.09737
2877,234.09743
2878,234.11208
2880,234.12538
2891,235.05652
2898,235.09596
2899,235.09621
2912,235.16849
2916,235.16891
2917,235.16891
2920,235.16895
2923,235.16902
2928,236.07164
2929,236.11232
2930,236.11282
2931,236.11288
2932,236.11288
2933,236.1129
2934,236.11292
2935,236.11292
2936,236.11292
2937,236.11293
2938,236.12825
2939,236.12827
2940,236.12833
2948,237.08698
2949,237.11153
